,Specs,Score
0,comp_bed_9,0.0
1,mat_dep,0.0
2,mat_age,0.0015668168859090947
3,weight_16,0.009463460487246556
4,height_16,0.009114170501798968
5,iq,0.007517546463315039
6,comp_noint_bed_16,0.0005276752906242521
7,comp_int_bed_16,0.004828073147090661
8,talk_phon_wend,0.004147835111816489
9,text_wend,0.0032436447763308784
10,talk_mob_wend,0.00261695891837066
11,comp_wend,0.006181582572032829
12,musi_wend,0.0007183071099232663
13,read_wend,0.001853773577157325
14,work_wend,0.004115032712382449
15,alon_wend,0.00589142749082483
16,draw_wend,0.0025686160752269593
17,play_wend,0.0032342411207024746
18,tv_wend,0.00538118768158391
19,out_win_wend,0.0032581451922990556
20,out_sum_wend,0.0019031848289112752
21,tran_wend,0.002214474843082792
22,talk_phon_week,0.0008502350708980977
23,text_week,0.004648739737457719
24,talk_mob_week,0.0035266428818965245
25,comp_week,0.004732925863061954
26,musi_week,0.002504144119317653
27,read_week,0.003889409597072735
28,work_week,0.0022600810805246674
29,alon_week,0.0031540661528290936
30,draw_week,0.0015799458703065206
31,play_week,0.004946080518960949
32,tv_week,0.005060907081072097
33,out_win_week,0.0015403278463477221
34,out_sum_week,0.0010587237788877157
35,tran_week,0.001986436232146227
36,pat_pres_10,0.0036898275859869045
37,pat_pres_8,0.0026483751901265062
38,pat_pres,0.00023232953190999162
39,num_home,0.0035161073862934877
40,mat_anx_1,0.0006089370862814025
41,mat_anx_18m,0.0
42,mat_anx_8m,0.00041634298527970515
43,agg_score,0.0
44,emot_cruel,0.0
45,phys_cruel,0.0
46,mat_anx_0m,0.0
47,pat_ses,0.0009039226391132082
48,mat_ses,0.0021829855311295
49,pat_edu,0.0008639629630589063
50,mat_edu,0.0006915697996434655
51,parity,0.0
52,dep_band_15,0.00233648497734551
53,dep_band_13,0.0
54,dep_band_10,0.0
55,dep_band_07,0.0
56,anx_band_15,0.0041167609203174305
57,anx_band_13,0.0017983588209109502
58,anx_band_10,0.0
59,anx_band_07,0.00042133060589377713
60,exercise,0.004826517483312198
61,child_bull,0.0
62,phone_14_wend,0.004287708348052144
63,phone_14_week,0.006326891749764085
64,musi_13,0.001044224630471824
65,tv_bed_9,0.00018418159767685793
66,own_mob,0.00020894966966444883
67,comp_house,0.0017372212636248552
68,tv_bed_16,0.004296419461342849
69,creat_14,0.0
70,comp_games,9.03925314956755e-05
71,fam_tv_eve,0.002560956507257073
72,fam_tv_aft,0.002029003356517567
73,fam_tv_mor,0.001033122545044396
74,sex,0.003923072065471711
75,birth_order,0.0
